sample_id,condition,author_cell_type,mean_expression,median_expression,detection_fraction,n_nuclei
s_0151,Control,OPC,0.21533777,0.0,0.2087378640776699,206
s_0151,Control,Oligo,0.005014862,0.0,0.005621925509486999,1423
s_0151,Control,T cells,0.0,0.0,0.0,18
s_0151,Control,VC,0.08009034,0.0,0.08196721311475409,61
s_0152,Control,Astro,0.024807783,0.0,0.03046218487394958,952
s_0152,Control,Micro,0.17581402,0.0,0.13312202852614896,631
s_0152,Control,Neurons,0.016468449,0.0,0.012670565302144249,1026
s_0152,Control,OPC,0.3260246,0.0,0.3316582914572864,199
s_0152,Control,Oligo,0.0064746034,0.0,0.007446016381236039,1343
s_0152,Control,T cells,0.0,0.0,0.0,19
s_0152,Control,VC,0.08168682,0.0,0.06779661016949153,59
s_0153,Control,Astro,0.0053949645,0.0,0.005376344086021506,186
s_0153,Control,Micro,0.10916394,0.0,0.06947890818858561,403
s_0153,Control,Neurons,0.010619833,0.0,0.02127659574468085,47
s_0153,Control,OPC,0.19637404,0.0,0.192,125
s_0153,Control,Oligo,0.0070235753,0.0,0.008875739644970414,338
s_0153,Control,T cells,0.0,0.0,0.0,1
s_0153,Control,VC,0.17665222,0.0,0.06666666666666667,15
s_0154,Control,Astro,0.031103466,0.0,0.02949438202247191,712
s_0154,Control,Micro,0.4299195,0.0,0.2978142076502732,366
s_0154,Control,Neurons,0.11065582,0.0,0.07092198581560284,141
s_0154,Control,OPC,0.3050752,0.0,0.2727272727272727,187
s_0154,Control,Oligo,0.020416949,0.0,0.019668737060041408,966
s_0154,Control,VC,0.1030031,0.0,0.1,10
s_0158,Control,Astro,0.025437297,0.0,0.021929824561403508,912
s_0158,Control,Micro,0.35790193,0.0,0.24156305506216696,563
s_0158,Control,Neurons,0.044859555,0.0,0.03602305475504323,694
s_0158,Control,OPC,0.3305739,0.0,0.2968036529680365,219
s_0158,Control,Oligo,0.011424503,0.0,0.012471655328798186,1764
s_0158,Control,T cells,0.07610034,0.0,0.05263157894736842,19
s_0158,Control,VC,0.058812242,0.0,0.058823529411764705,85
s_0159,Control,Astro,0.008287685,0.0,0.011293634496919919,974
s_0159,Control,Micro,0.27884766,0.0,0.2130841121495327,535
s_0159,Control,Neurons,0.021264542,0.0,0.009861932938856016,507
