"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","genes"
0.736585742407195,-0.284268564533148,0.022,0.022,1,"ILF2"
0.736586686029339,2.21185073221017,0.022,0.006,1,"GAD2"
0.737123009496802,-0.253452781190069,0.041,0.042,1,"FRMD8"
0.737640551522869,-0.210623981735336,0.013,0.012,1,"ZNF629"
0.738030330972093,-0.487323856755793,0.066,0.079,1,"ATF6B"
0.738151090450541,0.554275659885252,0.024,0.013,1,"ZNF525"
0.738581699833345,0.347204514361063,0.01,0.007,1,"BTNL9"
0.738596846007129,-0.206785865743531,0.027,0.026,1,"SAMM50"
0.738756440201644,-0.475466494402342,0.012,0.011,1,"ZSCAN12"
0.738956042730365,0.160951075925219,0.013,0.009,1,"C1orf174"
0.739333515506131,-0.400537485023206,0.027,0.026,1,"DOK1"
0.739644766093636,0.236471042043803,0.045,0.033,1,"VDAC3"
0.739923884237145,0.754349890051695,0.021,0.013,1,"NXPH1"
0.739995483026381,0.816891315235603,0.039,0.019,1,"CCDC59"
0.74034648660349,0.487838424686473,0.01,0.004,1,"LAGE3"
0.740384869194154,-0.694375826503035,0.019,0.028,1,"LRRC4"
0.740427439179703,-0.131497103982841,0.015,0.011,1,"GAL3ST1"
0.740739169481928,0.219013589421498,0.058,0.041,1,"RPL7L1"
0.740969892577783,-0.867113380144303,0.007,0.013,1,"FAM213B"
0.741111420483432,0.502032125233297,0.017,0.012,1,"ZNF593"
0.741415911915667,-0.156173772792837,0.01,0.01,1,"AL360091.3"
0.741977246539566,-0.268481216558022,0.009,0.011,1,"C11orf96"
0.741984101181889,0.876936286146784,0.011,0.007,1,"ZBTB7C"
0.741986578343468,0.322242579301551,0.091,0.068,1,"ZNF90"
0.742134826285198,0.656771669702284,0.014,0.007,1,"AL139011.2"
0.742286840599621,-0.178816572104584,0.016,0.016,1,"F8"
0.742509465156441,-0.198172665174582,0.024,0.028,1,"TEX41"
0.742585161278476,0.807013091357498,0.015,0.008,1,"CCDC167"
0.742723315381219,0.174260102868052,0.026,0.021,1,"LIG4"
0.742808608273357,0.411284255352292,0.072,0.046,1,"HIKESHI"
0.743813933129463,0.112405742463387,0.033,0.024,1,"MRPL18"
0.744042899726904,-0.205797249525362,0.01,0.009,1,"AC012184.2"
0.744260354724035,-0.835078626198142,0.016,0.022,1,"GUCD1"
0.745006626689596,0.789917624715545,0.01,0.007,1,"AC084816.1"
0.745147580862734,0.209898915303079,0.027,0.018,1,"ZBTB5"
0.745245574717897,0.194456216151192,0.039,0.029,1,"ETFDH"
0.74531415669566,0.529240572117336,0.042,0.031,1,"MAFG"
0.74532299342568,-0.438935136705891,0.019,0.021,1,"RBM4B"
0.745417640824281,-0.269821626534789,0.013,0.014,1,"MRPL2"
0.745504722375657,-0.239848503627007,0.076,0.082,1,"MBNL3"
0.745685202648073,0.675389487918983,0.01,0.004,1,"ZNF853"
0.745765952802814,0.178891111722303,0.108,0.102,1,"KLHL32"
0.745799983495519,-0.247535078362631,0.103,0.104,1,"IDE"
0.745857057796057,-0.748908393913709,0.014,0.016,1,"BOP1"
0.746783342698707,-0.137009347484009,0.012,0.011,1,"CITED4"
0.746893821794671,-0.300765600515559,0.05,0.049,1,"CHUK"
0.747078179226966,0.159128973320372,0.063,0.045,1,"BRD3"
0.748414109220692,0.521013172342332,0.019,0.008,1,"DIO2"
0.748863572015328,-0.133265086040706,0.012,0.012,1,"LMNB2"
0.749072458421807,0.503649570342863,0.025,0.02,1,"CYB5D2"
0.749394151413377,-0.124827799622786,0.014,0.012,1,"ACADS"
0.749703438228917,0.429294226359993,0.036,0.028,1,"RIDA"
0.749880974550948,0.179135143226024,0.24,0.195,1,"CEP192"
0.750137314872317,0.364875276354918,0.013,0.009,1,"POLE2"
0.750316761190734,-1.66240518143934,0.017,0.04,1,"EBF1"
0.750638163134794,0.551529109975183,0.037,0.018,1,"ZNF701"
0.751350164486392,-0.301035921804588,0.02,0.017,1,"AC016597.1"
0.752209173269138,0.40024959869313,0.066,0.041,1,"CHD4"
0.752219640578223,-0.248835561642267,0.062,0.055,1,"SLC40A1"
0.752481608395499,0.37581840508086,0.036,0.031,1,"ZNF354B"
0.7525363320962,0.30082419059557,0.056,0.038,1,"LINC01736"
0.752602468909469,0.313013866157504,0.022,0.019,1,"ROBO3"
0.75265372345236,0.928076127303894,0.021,0.01,1,"NUDCD2"
0.752912041769464,0.173020183809692,0.027,0.022,1,"L3HYPDH"
0.75295789770102,0.5171431900914,0.065,0.039,1,"CCDC117"
0.753035959515089,0.273231901479004,0.034,0.026,1,"CHURC1-FNTB"
0.753197249870573,-0.282441738232872,0.026,0.029,1,"SMC5-AS1"
0.75325295155644,0.160395650511501,0.018,0.012,1,"AP006565.1"
0.753455469265591,0.841689240528354,0.01,0.006,1,"PDZD11"
0.75370161542672,0.478757196675945,0.025,0.014,1,"SYCP2"
0.753760653329147,-0.155453871530148,0.095,0.098,1,"SUCLA2"
0.754384250795882,0.138294113884309,0.026,0.024,1,"SLC6A11"
0.754447598563033,0.397533845725369,0.022,0.013,1,"SRPRA"
0.754564664568415,0.341673017791653,0.02,0.012,1,"AC073610.3"
0.755052993507981,0.382829589987579,0.046,0.031,1,"ING3"
0.755286568340041,1.50014996501066,0.014,0.005,1,"DDIT3"
0.755363579289204,-0.233726626874616,0.026,0.03,1,"LINC02008"
0.755388079562469,0.362534052412261,0.047,0.033,1,"ENY2"
0.755410606429586,-0.180040357711068,0.048,0.045,1,"INIP"
0.755845340839558,0.274088066838337,0.023,0.018,1,"UBE2L6"
0.756384830742934,0.396997178327159,0.031,0.021,1,"AMY2B"
0.756826211334082,0.316642556392339,0.011,0.008,1,"KLF15"
0.757590312819008,-0.567483523900484,0.009,0.012,1,"TCF7L1"
0.757746187084771,-0.838025608564905,0.016,0.022,1,"ZNF552"
0.757945531674268,0.247717212845673,0.026,0.017,1,"SOX12"
0.75832620453091,0.654558934096496,0.02,0.012,1,"MFSD2A"
0.758444724883597,-0.296655260098608,0.026,0.022,1,"HAUS1"
0.758473850247379,-0.324923769850047,0.029,0.031,1,"GPR37L1"
0.758964426311005,-0.474073023118468,0.019,0.016,1,"SPRY1"
0.759267761994376,0.594492054265798,0.029,0.019,1,"ZDHHC8"
0.759407500503537,1.39109748766877,0.013,0.003,1,"CXCL13"
0.759702336053368,-0.372174582423089,0.024,0.024,1,"RPL34-AS1"
0.75990630807002,0.477434846580725,0.011,0.005,1,"NFKB2"
0.759915873819946,-0.17383164704652,0.193,0.205,1,"DNAJC6"
0.760209552423046,0.289228871809089,0.018,0.011,1,"DPH3"
0.760407260227051,-0.175999490411552,0.033,0.032,1,"ZNF14"
0.760973309116171,0.324897886933398,0.037,0.028,1,"JPT1"
0.761139633266547,0.114113326773881,0.03,0.019,1,"FAM210B"
0.761298998936081,-0.118373391451303,0.01,0.01,1,"AC092378.1"
0.761334913451101,0.524328689214725,0.021,0.013,1,"TCTA"
0.761703412919767,-0.55606351980921,0.052,0.062,1,"ZFYVE26"
0.761803776648418,-1.35260377010725,0.006,0.016,1,"MACC1"
0.762771103238106,0.454188006561934,0.115,0.079,1,"POLB"
0.763272109629316,-0.206697244103707,0.017,0.016,1,"AC011468.3"
0.763289062762939,-0.30635422558786,0.022,0.022,1,"ADRM1"
0.763417646670861,-0.209335747648082,0.018,0.017,1,"HMCES"
0.763830737464938,-0.126497264898224,0.064,0.058,1,"IDH2"
0.763920249616297,-0.197742617870601,0.048,0.051,1,"SPG21"
0.764024458403257,0.605973430377615,0.02,0.012,1,"MRPL44"
0.764228922143587,-0.213235971474594,0.011,0.011,1,"TAP1"
0.764388124946908,0.114323548424454,0.1,0.076,1,"RIOK3"
0.764481420113122,-0.128346176430805,0.06,0.06,1,"PLAA"
0.764571989947687,-0.401054506128017,0.04,0.046,1,"ZSWIM5"
0.764613514456871,0.411892526796267,0.051,0.031,1,"ABHD5"
0.765159074603946,0.129484780880917,0.021,0.016,1,"MPG"
0.765270364601755,-0.366822158885965,0.021,0.019,1,"RUNDC1"
0.765472209616161,-0.172909390939185,0.028,0.026,1,"LUC7L2"
0.765530478346349,0.307921909757907,0.033,0.022,1,"DUSP12"
0.765593624339835,-0.389055081940216,0.041,0.037,1,"CNIH1"
0.76616333353257,0.130001271144193,0.015,0.013,1,"C1orf35"
0.766356524980408,0.944235910614569,0.013,0.006,1,"TNFAIP8L3"
0.766501224500617,0.317241926013023,0.01,0.007,1,"AL357060.1"
0.766830172510672,0.62172173427342,0.032,0.016,1,"CDK2AP2"
0.766875938488488,0.101005287506856,0.04,0.031,1,"SUMO2"
0.766893516706779,0.677288725727158,0.01,0.005,1,"AC093323.1"
0.766937412751193,-0.424313019187799,0.035,0.044,1,"TMEM255A"
0.767250011515522,0.171052485576216,0.096,0.086,1,"GTF2IRD1"
0.767338788140284,0.629119635372694,0.035,0.024,1,"ROMO1"
0.767471445311109,-0.736411311464404,0.014,0.02,1,"TRPM6"
0.767699781852835,-0.171030231825655,0.158,0.161,1,"PTAFR"
0.767728507575815,0.486832923538959,0.06,0.041,1,"SLIRP"
0.767817276036443,0.555176010820606,0.013,0.009,1,"MFSD13A"
0.768171602129199,-0.243920427919734,0.017,0.02,1,"TMCC1-AS1"
0.76911309649489,-1.81140403313653,0.019,0.047,1,"ALDH1A1"
0.769287090690371,-0.465478241733028,0.04,0.049,1,"PTER"
0.769322450934176,0.323212121936311,0.084,0.065,1,"ZNF720"
0.769579208270677,0.215846751840556,0.038,0.031,1,"GIPC2"
0.769978594769381,0.157824814082709,0.012,0.011,1,"FRAT1"
0.769991851760277,0.11617377643619,0.042,0.036,1,"ACOX3"
0.770112816183291,-0.209668358957782,0.035,0.036,1,"GATD1"
0.77041910296541,0.379005039220942,0.027,0.02,1,"ZEB1-AS1"
0.770465572116318,-0.281711840370211,0.026,0.022,1,"SETD1A"
0.770626465646153,1.35281393477274,0.214,0.081,1,"TTTY14"
0.771497905725697,-0.188549285781343,0.009,0.01,1,"FUZ"
0.771589301628213,-0.309545738822293,0.072,0.075,1,"ZRSR2"
0.772023090000347,0.540451888339468,0.014,0.01,1,"TXK"
0.772033562872624,-0.35465344344771,0.122,0.124,1,"GJA1"
0.772222484460749,-0.381476447159287,0.04,0.046,1,"CEP78"
0.772265233868888,-0.301004930051318,0.033,0.035,1,"RAD9A"
0.772364800328604,-0.331124749336537,0.053,0.06,1,"ALS2"
0.772583139947384,-0.530152136941866,0.012,0.014,1,"NIT2"
0.772774945020945,0.182508507595891,0.16,0.119,1,"CAMSAP1"
0.772947496259915,0.687090016943011,0.028,0.017,1,"HAUS2"
0.773043765461131,0.369177575508704,0.063,0.042,1,"ABCB10"
0.773240673661585,1.44603506969318,0.058,0.016,1,"RPS4Y1"
0.773314294781369,-0.735594866827193,0.01,0.018,1,"AC107204.1"
0.774022965882058,0.447084542817319,0.113,0.077,1,"TFG"
0.774265607656246,0.373233725940274,0.015,0.009,1,"DNAJC12"
0.774687497039252,0.541409105519924,0.01,0.007,1,"SORCS3"
