"logFC","logCPM","F","PValue","FDR","gene","neglog10FDR"
-0.106213329537792,5.17112290453719,0.592599228268938,0.444604022090611,0.733200426627148,"PCYT1A",0.134777291006926
-0.136990899298327,4.68063150011486,0.590590694277657,0.445325473121574,0.734120831596585,"SKP2",0.134232452104704
-0.156732484737271,5.44221277617383,0.590859007329178,0.445333157290008,0.734120831596585,"APH1B",0.134232452104704
0.206408067276775,4.05571398005173,0.589561638700866,0.445408322016199,0.734120831596585,"EGLN3",0.134232452104704
-0.129231289295974,6.66902645498266,0.590649348268138,0.445467459158701,0.734120831596585,"ZMAT1",0.134232452104704
0.123536607634083,11.2130076393979,0.590475633081589,0.445521524746528,0.734120831596585,"QKI",0.134232452104704
0.150126002130324,4.24574779493912,0.589654994032707,0.445587188144603,0.734120831596585,"TMEM64",0.134232452104704
0.128912666063931,6.09630828912492,0.590026354885514,0.445700465483512,0.734190736576957,"SALL1",0.13419109937288
-0.0978834963367258,6.45294997965177,0.589476497228925,0.445913439646083,0.73437053571215,"MAVS",0.134084756145493
-0.239397612286707,6.57173223603145,0.589362537754121,0.44595134432467,0.73437053571215,"KCNQ1OT1",0.134084756145493
0.173620019593271,3.89862235153136,0.588015738110985,0.446285424156401,0.734719826632064,"AGAP4",0.133878240432309
-0.108754357954236,6.70845204690986,0.588325572408607,0.446360866968188,0.734719826632064,"MAPK8IP3",0.133878240432309
-0.177177013727671,3.37128294049778,0.586564469639257,0.446376148651498,0.734719826632064,"SLC52A2",0.133878240432309
0.0901467626197222,7.85025943401364,0.587714598368899,0.446590205650757,0.734955423401429,"USP32",0.13373900099453
-0.226004880118421,3.92148060624097,0.586486526408686,0.446719255967615,0.735051071704095,"LARP6",0.133682484876747
-0.0921651375697128,7.34861377970915,0.586441373966152,0.447082906315208,0.7351160941495,"CBFA2T2",0.133644068987842
0.102381883087159,6.47477225410157,0.586322621694183,0.447136144350138,0.7351160941495,"NUP153",0.133644068987842
-0.122862438851594,5.34494516348613,0.58601382826125,0.447206443909463,0.7351160941495,"ACVR1B",0.133644068987842
0.122937919164355,5.48650156244134,0.585532642924557,0.44737614813064,0.7351160941495,"NRBP1",0.133644068987842
0.13330119965335,4.68293374457015,0.585074025778346,0.44738244059636,0.7351160941495,"CNIH4",0.133644068987842
-0.122404416105939,6.43564989342287,0.585509426798749,0.447433776322248,0.7351160941495,"MLEC",0.133644068987842
-0.143337571425565,4.79719070192649,0.585307343859632,0.447436584354141,0.7351160941495,"KLHL3",0.133644068987842
0.139654208492256,5.49360644659344,0.585392603605283,0.447476009871754,0.7351160941495,"BARD1",0.133644068987842
-0.164667640029262,9.52618430520896,0.585367566047988,0.447486736428586,0.7351160941495,"ATP8B4",0.133644068987842
