gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ATP2A3,18.716292326386505,-0.9071845164417981,0.27331057870905767,-3.319244065585572,0.0009026150186420366,0.07043340455251283
SNED1,17.74643856725308,0.7704123303618094,0.2320557654446548,3.3199447938110045,0.0009003525073674123,0.07043340455251283
WWC1,16.011095519067347,1.0407900298873736,0.3138629888544108,3.316064865393087,0.0009129463609539429,0.07053349754119255
LY6H,12.9598014825092,-1.9410768834215961,0.5853974584636037,-3.3158273158821374,0.0009137227011186665,0.07053349754119255
SLC25A48,5.205186669902952,1.3759047392500614,0.41526708619049646,3.31330072862767,0.0009220178322715992,0.07069527415983129
IPPK,31.589950456265555,-0.46094327885109243,0.1391746162159726,-3.3119780846802973,0.0009263880265166409,0.07069527415983129
BTK,91.18541641617821,-0.3321219610439284,0.10035287344048709,-3.309541118828937,0.0009344903881826334,0.07069527415983129
CLSTN2,20.694121118399842,-1.5153631110783012,0.45791948921564113,-3.3092348038602353,0.0009355134482774721,0.07069527415983129
DGKG,50.73979619720853,0.6704137649338996,0.20282503360034967,3.30537977996787,0.0009484778402911806,0.07129971115654854
BBOX1,5.481255173555165,1.3616915457408902,0.4126026352966867,3.300249269522358,0.0009659898700129644,0.07223792996690699
NCS1,14.256341023130643,-1.3716228556222205,0.416859251270543,-3.290374032582122,0.0010005428864326537,0.07331560789976449
NEFL,88.25990266660433,-1.5802658068792095,0.4802809702146115,-3.2902944419660733,0.0010008259610219975,0.07331560789976449
SSTR1,3.7586350696713895,-2.6041353037195796,0.7910904915345413,-3.291829862179396,0.0009953780951665815,0.07331560789976449
NTRK3,35.718798560872855,0.7903075569836716,0.24013071879985912,3.2911555878128462,0.000997767116395482,0.07331560789976449
SMAD1,8.07553506408438,1.0050215521221264,0.30568590705095466,3.2877588692847386,0.0010098829607279125,0.07360355101589527
PWWP2A,86.4793459924924,0.35796426027655304,0.10917913949835809,3.278687319952145,0.0010429112215436043,0.07562686524708621
HIF3A,26.748977257385555,1.1480326475637317,0.35083558021519556,3.2722811262744544,0.001066834390429252,0.07658804088891602
FBXO32,25.39804194479805,0.7165953048442761,0.21895164806727596,3.2728472755048283,0.0010646998993371472,0.07658804088891602
DIRC3,290.71937507530345,1.3009292837146618,0.3978134883354298,3.2701990300985964,0.0010747183874954334,0.07677018212765886
WASF3,29.102018981495373,-0.6060308260397159,0.18540847350429265,-3.268625293038103,0.001080713173363006,0.07681623635220812
CLSPN,10.021412028264143,-1.5243598028490832,0.4689573679554896,-3.250529593968903,0.0011519027901252736,0.07750300626805132
PCSK2,6.466363556386122,-1.2857453686666236,0.39440360087501064,-3.259973706665233,0.0011142254261585162,0.07750300626805132
DIP2C,173.26219344960413,0.5485460190483749,0.16859597806826124,3.253612721569664,0.0011394750777492585,0.07750300626805132
RGMA,17.375190961157564,1.1166547341189312,0.3428276618722584,3.2571897145657105,0.001125212017439411,0.07750300626805132
TNFRSF21,19.03643936504019,-1.5603389655216018,0.4790856164627752,-3.2569104809324614,0.0011263194782485265,0.07750300626805132
SCARB2,211.69888074206756,0.3673152170896039,0.11275045195935873,3.2577715717006956,0.001122907563702642,0.07750300626805132
FAM102A,21.51450186925703,0.5604597949989515,0.17173129653172672,3.2635856498958455,0.001100119263782951,0.07750300626805132
AEBP1,9.837168212341748,1.5572655177059431,0.4791247859663583,3.2502295087177693,0.0011531190636229224,0.07750300626805132
ADORA1,18.439205836944403,1.2132951685885816,0.3731994753761766,3.251063435621413,0.0011497420106284146,0.07750300626805132
AC020594.1,7.2680394879715395,0.8243467887039846,0.25366631112315646,3.249729083274915,0.0011551499750217984,0.07750300626805132
ADAMTS2,16.156140248348795,-1.5838062118265983,0.4863781865108731,-3.256326570046932,0.0011286385686754593,0.07750300626805132
CHST10,10.100345487626047,-0.7729279594561733,0.23741776656766328,-3.2555607384837035,0.0011316868764124927,0.07750300626805132
PSMC1,41.97051709052261,-0.5291374488591093,0.16302558024176794,-3.245732651737201,0.0011714879840195227,0.07823360220722003
RAB3C,32.11396827653512,-1.6042686624168407,0.4952940168873326,-3.2390228989617955,0.0011993994356810508,0.07972674582179874
NAPB,69.06233345275267,-0.5351431814919817,0.165589598969645,-3.2317439309100644,0.0012303725952065854,0.08125265027373559
SBF2-AS1,41.473787744059685,0.430155468435475,0.1331347438996028,3.23097829939761,0.0012336730575062235,0.08125265027373559
SYT4,13.411858990954123,-1.7202492503563267,0.533006262327146,-3.2274466023074235,0.0012490035039874996,0.08151451050114782
FAM182B,36.67140272561506,0.7917018780133572,0.24527063968965093,3.2278705637785423,0.0012471539189041927,0.08151451050114782
OPTN,27.11294274282311,-1.019010471860562,0.3164710492078765,-3.2199168752122307,0.0012822777244278745,0.08330743695626888
RFTN1,70.40838535153034,-0.7804264753256633,0.24268380280789156,-3.215816079589987,0.0013007416554945564,0.08337521736424483
KCTD8,28.482367130203745,1.1775218102282636,0.3660653873443491,3.2166980297446055,0.0012967500650077307,0.08337521736424483
DAAM2,41.84897215079887,0.9823039631923458,0.3053409119122513,3.217072867964185,0.0012950570224759305,0.08337521736424483
DTL,8.972450740320715,-2.5415751511251,0.7920154221080095,-3.2089970475076153,0.001331988598768614,0.08424974581991083
ADAM12,11.353547917012339,1.247088589358308,0.38856317856161837,3.2094873064781266,0.0013297191775529025,0.08424974581991083
KCND2,39.29682667668307,0.842354167511962,0.26235413952161607,3.2107523405117004,0.0013238797724131955,0.08424974581991083
ELN,3.995310519015136,1.3102929278091822,0.4084973719405815,3.2075920625500927,0.001338512120096539,0.08429103956292153
RAPGEF3,13.675775538011237,1.015192265484531,0.31670793308593465,3.205452593475363,0.0013485025805085522,0.08454934520061917
