gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SLC7A11,19.186900081644357,1.1040312667595626,0.2668994537775964,4.13650628029961,3.526337082345794e-05,0.013303127336043897
YAP1,8.363371297061967,1.3982676899935746,0.33848990526676487,4.130899232848896,3.613469606530938e-05,0.013303127336043897
HEPACAM,20.08818440741447,1.0418095877826064,0.2530114848176111,4.117637539393193,3.827760895940451e-05,0.013739747735978247
LINC00320,10.73184738570912,1.6456545528934075,0.4034300601829001,4.079156997243411,4.519930565733272e-05,0.015828576356780078
ZNF365,18.83401261786324,1.1212701427594296,0.27660902675072885,4.053628169444673,5.0429349911636187e-05,0.017239633476935055
FAM19A5,20.09933884342506,0.9139084892169094,0.2267000081041199,4.0313562264945535,5.5455916294412677e-05,0.017905114849898162
DUBR,15.749063186177025,0.9904503444168851,0.2458565573333443,4.028569972506303,5.611715895287765e-05,0.017905114849898162
TGFBR3,9.017219035679544,1.314570403731917,0.3260360427896144,4.031978772911887,5.5309183831246e-05,0.017905114849898162
MAIP1,19.943737411183665,0.7420836331880157,0.18468442135990512,4.018117108761842,5.866504095606524e-05,0.01831114474015619
NTNG1,11.30254884081096,1.0850549278945432,0.2713050462110034,3.999390881401661,6.350571939430127e-05,0.018632649104658196
GPC5,126.54774270834353,1.1580092592397493,0.289364645782436,4.001903052491144,6.283504589579307e-05,0.018632649104658196
PRKD1,25.999647529437226,1.0657348091978598,0.26649475927672106,3.999083554552115,6.358822998525224e-05,0.018632649104658196
NR2F2-AS1,8.543479994056296,1.5727235966743087,0.394137275601538,3.9902939763157272,6.599145030158833e-05,0.018950104868604108
LINC01182,5.14141447251677,1.4100419451372184,0.35382867728838985,3.9850979743735033,6.745228877309982e-05,0.018989803180473865
KLRD1,12.677361412029807,1.2476066137884214,0.31422348135749184,3.970443610383847,7.173893426103206e-05,0.019121801338067304
KIAA1211,25.35183862122532,1.321062909396952,0.33247856539370607,3.9733776757386123,7.086055682603963e-05,0.019121801338067304
CTNNA2,91.68029280858538,1.0018027780589036,0.25235251284935567,3.9698545766292392,7.191651150965555e-05,0.019121801338067304
CCDC26,1018.582050879436,-1.4264986723019706,0.3607980804231761,-3.953731324259946,7.694180513045957e-05,0.019727329251127475
AC092691.1,53.174137805129504,1.1149604307107321,0.28170391276586904,3.957916025246702,7.560652728464492e-05,0.019727329251127475
BMPR1B,13.166690517451782,1.1933697430935841,0.30224866285732827,3.9483044583621383,7.870666704332573e-05,0.019825795182597732
DMTN,8.534426587863116,-1.6800612890684983,0.42627926213248857,-3.9412221947272013,8.10674872073327e-05,0.020068396229704875
ADCY2,52.90557098734233,1.0274257715054425,0.2616230770304499,3.927122114636172,8.596833916821695e-05,0.020920905318258628
PRDM16,6.824625331967639,1.490069429866845,0.38026632721243186,3.918489025283675,8.91057856833659e-05,0.02132301451402946
LSAMP,237.4619014540013,1.0013290928733498,0.25624323726594894,3.907728857773106,9.3167776894882e-05,0.02157585388155993
SOX8,8.329047205114726,1.1410987426168238,0.2919877831467545,3.9080359127330397,9.304947753404542e-05,0.02157585388155993
PTK7,7.04722470893367,-1.2373693945811874,0.31773400234570404,-3.8943562396412728,9.845986330233544e-05,0.022439471703094162
CACHD1,14.753436595037552,1.2522164308800046,0.3230264550618446,3.876513552551797,0.00010596391034056294,0.023406612687227733
RFTN2,31.859096167280114,1.1296740710127409,0.2914010767279344,3.8766983420155894,0.0001058834998815853,0.023406612687227733
ADGRL3,100.66066601361294,0.830591636785633,0.21475749284890527,3.867579313612139,0.00010992108238986692,0.02391283183263196
PTCHD1-AS,28.489865367608797,1.1700943853483579,0.30283304744047335,3.863826604255794,0.00011162447258732996,0.02392095787177438
UBE2V2,65.43469322753438,-0.5042908785390302,0.13071219902851577,-3.8580245936266104,0.00011430714833505825,0.024135618173452448
CPLX1,6.319959030566742,-1.54893818848354,0.4028200440200741,-3.8452361333001357,0.00012043640327785326,0.024703226832334533
CLSTN3,20.809159423863246,-1.2516524949164793,0.3254837801875937,-3.8455141887410953,0.00012029990262082942,0.024703226832334533
ADAMTSL3,12.51742008601751,1.2254479092524948,0.3190101546204394,3.8414072138566926,0.00012233097769053243,0.02473842503775584
PLXNB1,14.84014403362848,1.183873542637147,0.30914972447746775,3.8294504212745406,0.00012842975324743545,0.02502694239478543
PSD2,12.288273927037178,1.3252012540461329,0.3457056489332666,3.833322533592569,0.0001264240164381279,0.02502694239478543
RBPMS,12.120891474971945,1.3536360551693731,0.35357887557418577,3.8283849762550686,0.00012898688795195165,0.02502694239478543
CLEC17A,27.25204649621703,-1.1006968441181952,0.288926999571747,-3.809601891653146,0.00013919073588694982,0.026296060340326652
COL27A1,14.726629576409842,1.4598671610349379,0.38294896423895936,3.812171587762759,0.00013775119185036226,0.026296060340326652
SGF29,35.994938378768374,0.5197019240239786,0.13657874749632154,3.8051448966317087,0.00014172120268973547,0.02633181915330823
RORA,138.85648445225516,0.849551246922481,0.22339927439167487,3.802837986989183,0.00014304791015169537,0.02633181915330823
TUBA4A,20.70726736563655,-2.3031334872601854,0.6070749831986002,-3.79382045217095,0.00014834696240510496,0.026961590964715152
CDH20,108.64904750567378,1.2386426520828238,0.3271832529757113,3.785776444293667,0.00015322938370425262,0.027500843640320738
TMEM63C,8.250414253808481,-0.9545686969918943,0.252595760755014,-3.779036885411966,0.0001574361047515495,0.027907007308922812
ZBTB7C,9.950979166485974,1.3398326838555603,0.3551021043939844,3.7730913652063895,0.00016123720796840473,0.028207983741505977
MAOB,9.37938554861421,1.4660845575868469,0.3894670221536559,3.7643355513895975,0.00016699252110516843,0.028207983741505977
ARHGAP4,65.63297804441824,-0.4944555648327084,0.13130472598390772,-3.765710343840231,0.00016607623915826492,0.028207983741505977
OLMALINC,67.2079727427458,0.6113772774157492,0.16219905856929773,3.7693022561813767,0.00016370454649275435,0.028207983741505977
ITGB8,26.295823686326987,1.0498855551122492,0.2795843125652164,3.755166180389148,0.00017322650343618107,0.028920769027170792
NR2F1-AS1,10.653885386583802,1.1624294380822995,0.31029611168564686,3.746194020181366,0.00017953775259605445,0.029629920135335056
LINC00836,5.270428370462136,1.886275094092087,0.5041181860250418,3.7417318922082834,0.00018275643213087664,0.029818373324262803
SEM1,140.4637743712044,0.68102998431533,0.1822055681361652,3.737701274893999,0.00018571040853894815,0.029959888155081098
CFAP54,7.098611988597165,1.0360143981061827,0.27805080988450953,3.7259895000359786,0.0001945505027996398,0.031037290213302534
SORBS1,75.93784001102064,1.0245037898832692,0.2754931477718091,3.7187995351952106,0.00020017182794728814,0.031583155007331463
SORCS2,24.474991175308773,1.2114550890139693,0.32620351676643483,3.713801436056816,0.0002041690126096928,0.031863681337499665
