Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Positive Regulation Of T Cell Activation (GO:0050870),-7.265244e-01,-1.600408e+00,3.442341e-03,1.458767e-01,8.230000e-01,13/75,9.75%,IL1B;THY1;HLA-DMA;CD80;CCL2;HLA-A;PRKCQ;PNP;CD1D;NOD2;RHOH;HLA-DQA1;TFRC
prerank,Neurotransmitter Secretion (GO:0007269),-8.151812e-01,-1.595954e+00,5.226481e-03,1.521637e-01,8.530000e-01,12/35,6.28%,SYT1;CPLX1;RAB3A;SLC32A1;SNAP25;SYN1;CPLX2;RIMS1;STXBP1;CDK5;RPH3A;RIMS2
prerank,Negative Regulation Of Cell Junction Assembly (GO:1901889),-8.682232e-01,-1.595511e+00,5.253940e-03,1.448265e-01,8.540000e-01,4/22,2.91%,DMTN;IL1B;TNF;ROBO2
prerank,DNA Metabolic Process (GO:0006259),-6.133810e-01,-1.595056e+00,0.000000e+00,1.388739e-01,8.560000e-01,25/251,6.08%,MCM10;ORC6;CHEK1;CDC45;POLQ;FANCA;NEIL3;MCM6;UBE2V2;GADD45A;TOP2A;FAM111B;TERF2IP;ISG20;CHRNA4;WDHD1;INSL6;BTG2;ORC1;XRCC3;BLM;RFC3;MCM2;PARP2;BRCA1
prerank,Adherens Junction Organization (GO:0034332),8.243078e-01,1.593343e+00,1.666667e-02,2.067801e-01,9.770000e-01,8/25,5.50%,FERMT2;CDH2;ZNF703;CDHR3;CDH10;CDH6;CDH26;TJP1
prerank,Intrinsic Apoptotic Signaling Pathway (GO:0097193),-6.941866e-01,-1.589526e+00,5.059022e-03,1.476878e-01,8.750000e-01,22/89,13.58%,MLLT11;MOAP1;BCL2A1;ATP2A3;SCN2A;E2F1;IFI6;BNIP3;IKBKE;HINT1;ZNF622;BRCA1;CUL1;CDKN1A;BAD;BCL2L2;CD24;MCL1;ZNF385B;PPP1R15A;ATF4;CYCS
prerank,Response To Organic Cyclic Compound (GO:0014070),-8.052221e-01,-1.588957e+00,7.285974e-03,1.420147e-01,8.770000e-01,10/34,3.71%,IL1B;TNF;SLC1A1;CDKN2D;FOXA1;CHRNB2;ABCB4;CCL3;DRD2;CCL2
prerank,DNA Integrity Checkpoint Signaling (GO:0031570),-8.033979e-01,-1.581231e+00,7.233273e-03,1.642578e-01,9.170000e-01,6/35,6.03%,CLSPN;CHEK1;CDC45;E2F1;ERCC6;PRPF19
prerank,Positive Regulation Of Signaling (GO:0023056),-8.198056e-01,-1.580865e+00,3.610108e-03,1.584496e-01,9.190000e-01,11/28,7.01%,SYT1;CLSTN3;CLSTN2;TNF;CD80;OCRL;RIMS3;RIMS1;NSF;RIMS2;HOMER1
prerank,Protein Depolymerization (GO:0051261),-8.579323e-01,-1.580646e+00,0.000000e+00,1.524204e-01,9.190000e-01,5/23,4.97%,STMN2;STMN1;DSTN;KIF18B;STMN3
